graph_id,label,dataset_role,parent_edc_group,partition
90,0,internal,0,internal_outer_train
91,0,internal,0,internal_outer_train
92,0,internal,0,internal_outer_train
93,0,internal,0,internal_outer_train
94,0,internal,0,internal_outer_train
95,0,internal,0,internal_outer_train
96,0,internal,0,internal_outer_train
97,0,internal,1,internal_outer_train
98,0,internal,1,internal_outer_train
99,0,internal,1,internal_outer_train
100,0,internal,1,internal_outer_train
101,0,internal,1,internal_outer_train
102,0,internal,1,internal_outer_train
103,0,internal,1,internal_outer_train
104,0,internal,1,internal_outer_train
105,0,internal,1,internal_outer_train
106,0,internal,1,internal_outer_train
107,0,internal,2,internal_outer_train
108,0,internal,2,internal_outer_train
109,0,internal,2,internal_outer_train
110,0,internal,2,internal_outer_train
111,0,internal,2,internal_outer_train
112,0,internal,2,internal_outer_train
113,0,internal,2,internal_outer_train
114,0,internal,2,internal_outer_train
115,0,internal,2,internal_outer_train
116,0,internal,2,internal_outer_train
117,0,internal,3,internal_outer_train
118,0,internal,3,internal_outer_train
119,0,internal,3,internal_outer_train
120,0,internal,3,internal_outer_train
121,0,internal,3,internal_outer_train
122,0,internal,3,internal_outer_train
123,0,internal,3,internal_outer_train
124,0,internal,3,internal_outer_train
125,0,internal,3,internal_outer_train
126,0,internal,3,internal_outer_train
127,0,internal,4,internal_outer_train
128,0,internal,4,internal_outer_train
129,0,internal,4,internal_outer_train
130,0,internal,4,internal_outer_train
131,0,internal,4,internal_outer_train
132,0,internal,4,internal_outer_train
133,0,internal,4,internal_outer_train
134,0,internal,4,internal_outer_train
135,0,internal,4,internal_outer_train
136,0,internal,4,internal_outer_train
137,0,internal,5,internal_outer_train
138,0,internal,5,internal_outer_train
139,0,internal,5,internal_outer_train
140,0,internal,5,internal_outer_train
141,0,internal,5,internal_outer_train
142,0,internal,5,internal_outer_train
143,0,internal,5,internal_outer_train
144,0,internal,5,internal_outer_train
145,0,internal,5,internal_outer_train
146,0,internal,5,internal_outer_train
147,0,internal,6,internal_outer_train
148,0,internal,6,internal_outer_train
149,0,internal,6,internal_outer_train
150,0,internal,6,internal_outer_train
151,0,internal,6,internal_outer_train
152,0,internal,6,internal_outer_train
153,0,internal,6,internal_outer_train
154,0,internal,6,internal_outer_train
155,0,internal,6,internal_outer_train
156,0,internal,6,internal_outer_train
157,0,internal,7,internal_outer_test
158,0,internal,7,internal_outer_test
159,0,internal,7,internal_outer_test
160,0,internal,7,internal_outer_test
161,0,internal,7,internal_outer_test
162,0,internal,7,internal_outer_test
163,0,internal,7,internal_outer_test
164,0,internal,7,internal_outer_test
165,0,internal,7,internal_outer_test
166,0,internal,7,internal_outer_test
167,0,internal,8,internal_outer_train
168,0,internal,8,internal_outer_train
169,0,internal,8,internal_outer_train
170,0,internal,8,internal_outer_train
171,0,internal,8,internal_outer_train
172,0,internal,8,internal_outer_train
173,0,internal,8,internal_outer_train
174,0,internal,8,internal_outer_train
175,0,internal,8,internal_outer_train
176,0,internal,8,internal_outer_train
177,0,internal,9,internal_outer_train
178,0,internal,9,internal_outer_train
179,0,internal,9,internal_outer_train
180,0,internal,9,internal_outer_train
181,0,internal,9,internal_outer_train
182,0,internal,9,internal_outer_train
183,0,internal,9,internal_outer_train
184,0,internal,9,internal_outer_train
185,0,internal,9,internal_outer_train
186,0,internal,9,internal_outer_train
187,0,internal,10,internal_outer_train
188,0,internal,10,internal_outer_train
189,0,internal,10,internal_outer_train
190,0,internal,10,internal_outer_train
191,0,internal,10,internal_outer_train
192,0,internal,10,internal_outer_train
193,0,internal,10,internal_outer_train
194,0,internal,10,internal_outer_train
195,0,internal,10,internal_outer_train
196,0,internal,10,internal_outer_train
197,0,internal,11,internal_outer_train
198,0,internal,11,internal_outer_train
199,0,internal,11,internal_outer_train
200,0,internal,11,internal_outer_train
201,0,internal,11,internal_outer_train
202,0,internal,11,internal_outer_train
203,0,internal,11,internal_outer_train
204,0,internal,11,internal_outer_train
205,0,internal,11,internal_outer_train
206,0,internal,11,internal_outer_train
207,0,internal,12,internal_outer_test
208,0,internal,12,internal_outer_test
209,0,internal,12,internal_outer_test
210,0,internal,12,internal_outer_test
211,0,internal,12,internal_outer_test
212,0,internal,12,internal_outer_test
213,0,internal,12,internal_outer_test
214,0,internal,12,internal_outer_test
215,0,internal,12,internal_outer_test
216,0,internal,12,internal_outer_test
217,0,internal,13,internal_outer_train
218,0,internal,13,internal_outer_train
219,0,internal,13,internal_outer_train
220,0,internal,13,internal_outer_train
221,0,internal,13,internal_outer_train
222,0,internal,13,internal_outer_train
223,0,internal,13,internal_outer_train
224,0,internal,13,internal_outer_train
225,0,internal,13,internal_outer_train
226,0,internal,13,internal_outer_train
227,0,internal,14,internal_outer_test
228,0,internal,14,internal_outer_test
229,0,internal,14,internal_outer_test
230,0,internal,14,internal_outer_test
231,0,internal,14,internal_outer_test
232,0,internal,14,internal_outer_test
233,0,internal,14,internal_outer_test
234,0,internal,14,internal_outer_test
235,0,internal,14,internal_outer_test
236,0,internal,14,internal_outer_test
237,0,internal,15,internal_outer_train
238,0,internal,15,internal_outer_train
239,0,internal,15,internal_outer_train
240,0,internal,15,internal_outer_train
241,0,internal,15,internal_outer_train
242,0,internal,15,internal_outer_train
243,0,internal,15,internal_outer_train
244,0,internal,15,internal_outer_train
245,0,internal,15,internal_outer_train
246,0,internal,15,internal_outer_train
247,0,internal,16,internal_outer_train
248,0,internal,16,internal_outer_train
249,0,internal,16,internal_outer_train
250,0,internal,16,internal_outer_train
251,0,internal,16,internal_outer_train
252,0,internal,16,internal_outer_train
253,0,internal,16,internal_outer_train
254,0,internal,16,internal_outer_train
255,0,internal,16,internal_outer_train
256,0,internal,16,internal_outer_train
257,0,internal,17,internal_outer_train
258,0,internal,17,internal_outer_train
259,0,internal,17,internal_outer_train
260,0,internal,17,internal_outer_train
261,0,internal,17,internal_outer_train
262,0,internal,17,internal_outer_train
263,0,internal,17,internal_outer_train
264,0,internal,17,internal_outer_train
265,0,internal,17,internal_outer_train
266,0,internal,17,internal_outer_train
267,0,internal,18,internal_outer_train
268,0,internal,18,internal_outer_train
269,0,internal,18,internal_outer_train
270,0,internal,18,internal_outer_train
271,0,internal,18,internal_outer_train
272,0,internal,18,internal_outer_train
273,0,internal,18,internal_outer_train
274,0,internal,18,internal_outer_train
275,0,internal,18,internal_outer_train
276,0,internal,18,internal_outer_train
277,0,internal,19,internal_outer_train
278,0,internal,19,internal_outer_train
279,0,internal,19,internal_outer_train
280,0,internal,19,internal_outer_train
281,0,internal,19,internal_outer_train
282,0,internal,19,internal_outer_train
283,0,internal,19,internal_outer_train
284,0,internal,19,internal_outer_train
285,0,internal,19,internal_outer_train
286,0,internal,19,internal_outer_train
287,0,internal,20,internal_outer_train
288,0,internal,20,internal_outer_train
289,0,internal,20,internal_outer_train
290,0,internal,20,internal_outer_train
291,0,internal,20,internal_outer_train
292,0,internal,20,internal_outer_train
293,0,internal,20,internal_outer_train
294,0,internal,20,internal_outer_train
295,0,internal,20,internal_outer_train
296,0,internal,20,internal_outer_train
297,0,internal,21,internal_outer_train
298,0,internal,21,internal_outer_train
299,0,internal,21,internal_outer_train
300,0,internal,21,internal_outer_train
301,0,internal,21,internal_outer_train
302,0,internal,21,internal_outer_train
303,0,internal,21,internal_outer_train
304,0,internal,21,internal_outer_train
305,0,internal,21,internal_outer_train
306,0,internal,21,internal_outer_train
307,0,internal,22,internal_outer_train
308,0,internal,22,internal_outer_train
309,0,internal,22,internal_outer_train
310,0,internal,22,internal_outer_train
311,0,internal,22,internal_outer_train
312,0,internal,22,internal_outer_train
313,0,internal,22,internal_outer_train
314,0,internal,22,internal_outer_train
315,0,internal,22,internal_outer_train
316,0,internal,22,internal_outer_train
317,0,internal,23,internal_outer_test
318,0,internal,23,internal_outer_test
319,0,internal,23,internal_outer_test
320,0,internal,23,internal_outer_test
321,0,internal,23,internal_outer_test
322,0,internal,23,internal_outer_test
323,0,internal,23,internal_outer_test
324,0,internal,23,internal_outer_test
325,0,internal,23,internal_outer_test
326,0,internal,23,internal_outer_test
327,0,internal,24,internal_outer_train
328,0,internal,24,internal_outer_train
329,0,internal,24,internal_outer_train
330,0,internal,24,internal_outer_train
331,0,internal,24,internal_outer_train
332,0,internal,24,internal_outer_train
333,0,internal,24,internal_outer_train
334,0,internal,24,internal_outer_train
335,0,internal,24,internal_outer_train
336,0,internal,24,internal_outer_train
337,0,internal,25,internal_outer_train
338,0,internal,25,internal_outer_train
339,0,internal,25,internal_outer_train
340,0,internal,25,internal_outer_train
341,0,internal,25,internal_outer_train
342,0,internal,25,internal_outer_train
343,0,internal,25,internal_outer_train
344,0,internal,25,internal_outer_train
345,0,internal,25,internal_outer_train
346,0,internal,25,internal_outer_train
347,0,internal,26,internal_outer_train
348,0,internal,26,internal_outer_train
349,0,internal,26,internal_outer_train
350,0,internal,26,internal_outer_train
351,0,internal,26,internal_outer_train
352,0,internal,26,internal_outer_train
353,0,internal,26,internal_outer_train
354,0,internal,26,internal_outer_train
355,0,internal,26,internal_outer_train
356,0,internal,26,internal_outer_train
357,0,internal,27,internal_outer_train
358,0,internal,27,internal_outer_train
359,0,internal,27,internal_outer_train
360,0,internal,27,internal_outer_train
361,0,internal,27,internal_outer_train
362,0,internal,27,internal_outer_train
363,0,internal,27,internal_outer_train
364,0,internal,27,internal_outer_train
365,0,internal,27,internal_outer_train
366,0,internal,27,internal_outer_train
367,0,internal,28,internal_outer_test
368,0,internal,28,internal_outer_test
369,0,internal,28,internal_outer_test
370,0,internal,28,internal_outer_test
371,0,internal,28,internal_outer_test
372,0,internal,28,internal_outer_test
373,0,internal,28,internal_outer_test
374,0,internal,28,internal_outer_test
375,0,internal,28,internal_outer_test
376,0,internal,28,internal_outer_test
377,0,internal,29,internal_outer_train
378,0,internal,29,internal_outer_train
379,0,internal,29,internal_outer_train
380,0,internal,29,internal_outer_train
381,0,internal,29,internal_outer_train
382,0,internal,29,internal_outer_train
383,0,internal,29,internal_outer_train
384,0,internal,29,internal_outer_train
385,0,internal,29,internal_outer_train
386,0,internal,29,internal_outer_train
387,0,internal,30,internal_outer_test
388,0,internal,30,internal_outer_test
389,0,internal,30,internal_outer_test
390,0,internal,30,internal_outer_test
391,0,internal,30,internal_outer_test
392,0,internal,30,internal_outer_test
393,0,internal,30,internal_outer_test
394,0,internal,30,internal_outer_test
395,0,internal,30,internal_outer_test
396,0,internal,30,internal_outer_test
397,0,internal,31,internal_outer_train
398,0,internal,31,internal_outer_train
399,0,internal,31,internal_outer_train
400,0,internal,31,internal_outer_train
401,0,internal,31,internal_outer_train
402,0,internal,31,internal_outer_train
403,0,internal,31,internal_outer_train
404,0,internal,31,internal_outer_train
405,0,internal,31,internal_outer_train
406,0,internal,31,internal_outer_train
407,0,internal,32,internal_outer_train
408,0,internal,32,internal_outer_train
409,0,internal,32,internal_outer_train
410,0,internal,32,internal_outer_train
411,0,internal,32,internal_outer_train
412,0,internal,32,internal_outer_train
413,0,internal,32,internal_outer_train
414,0,internal,32,internal_outer_train
415,0,internal,32,internal_outer_train
416,0,internal,32,internal_outer_train
417,0,internal,33,internal_outer_train
418,0,internal,33,internal_outer_train
419,0,internal,33,internal_outer_train
420,0,internal,33,internal_outer_train
421,0,internal,33,internal_outer_train
422,0,internal,33,internal_outer_train
423,0,internal,33,internal_outer_train
424,0,internal,33,internal_outer_train
425,0,internal,33,internal_outer_train
426,0,internal,33,internal_outer_train
427,0,internal,34,internal_outer_test
428,0,internal,34,internal_outer_test
429,0,internal,34,internal_outer_test
430,0,internal,34,internal_outer_test
431,0,internal,34,internal_outer_test
432,0,internal,34,internal_outer_test
433,0,internal,34,internal_outer_test
434,0,internal,34,internal_outer_test
435,0,internal,34,internal_outer_test
436,0,internal,34,internal_outer_test
437,0,internal,35,internal_outer_train
438,0,internal,35,internal_outer_train
439,0,internal,35,internal_outer_train
440,0,internal,35,internal_outer_train
441,0,internal,35,internal_outer_train
442,0,internal,35,internal_outer_train
443,0,internal,35,internal_outer_train
444,0,internal,35,internal_outer_train
445,0,internal,35,internal_outer_train
446,0,internal,35,internal_outer_train
447,0,internal,36,internal_outer_train
448,0,internal,36,internal_outer_train
449,0,internal,36,internal_outer_train
450,0,internal,36,internal_outer_train
451,0,internal,36,internal_outer_train
452,0,internal,36,internal_outer_train
453,0,internal,36,internal_outer_train
454,0,internal,36,internal_outer_train
455,0,internal,36,internal_outer_train
456,0,internal,36,internal_outer_train
457,0,internal,37,internal_outer_train
458,0,internal,37,internal_outer_train
459,0,internal,37,internal_outer_train
460,0,internal,37,internal_outer_train
461,0,internal,37,internal_outer_train
462,0,internal,37,internal_outer_train
463,0,internal,37,internal_outer_train
464,0,internal,37,internal_outer_train
465,0,internal,37,internal_outer_train
466,0,internal,37,internal_outer_train
467,0,internal,38,internal_outer_train
468,0,internal,38,internal_outer_train
469,0,internal,38,internal_outer_train
470,0,internal,38,internal_outer_train
471,0,internal,38,internal_outer_train
472,0,internal,38,internal_outer_train
473,0,internal,38,internal_outer_train
474,0,internal,38,internal_outer_train
475,0,internal,38,internal_outer_train
476,0,internal,38,internal_outer_train
477,0,internal,39,internal_outer_train
478,0,internal,39,internal_outer_train
479,0,internal,39,internal_outer_train
480,0,internal,39,internal_outer_train
481,0,internal,39,internal_outer_train
482,0,internal,39,internal_outer_train
483,0,internal,39,internal_outer_train
484,0,internal,39,internal_outer_train
485,0,internal,39,internal_outer_train
486,0,internal,39,internal_outer_train
487,0,internal,40,internal_outer_train
488,0,internal,40,internal_outer_train
489,0,internal,40,internal_outer_train
490,0,internal,40,internal_outer_train
491,0,internal,40,internal_outer_train
492,0,internal,40,internal_outer_train
493,0,internal,40,internal_outer_train
494,0,internal,40,internal_outer_train
495,0,internal,40,internal_outer_train
496,0,internal,40,internal_outer_train
497,0,internal,41,internal_outer_test
498,0,internal,41,internal_outer_test
499,0,internal,41,internal_outer_test
500,0,internal,41,internal_outer_test
501,0,internal,41,internal_outer_test
502,0,internal,41,internal_outer_test
503,0,internal,41,internal_outer_test
504,0,internal,41,internal_outer_test
505,0,internal,41,internal_outer_test
506,0,internal,41,internal_outer_test
507,0,internal,42,internal_outer_train
508,0,internal,42,internal_outer_train
509,0,internal,42,internal_outer_train
510,0,internal,42,internal_outer_train
511,0,internal,42,internal_outer_train
512,0,internal,42,internal_outer_train
513,0,internal,42,internal_outer_train
514,0,internal,42,internal_outer_train
515,0,internal,42,internal_outer_train
516,0,internal,42,internal_outer_train
517,0,internal,43,internal_outer_train
518,0,internal,43,internal_outer_train
519,0,internal,43,internal_outer_train
520,0,internal,43,internal_outer_train
521,0,internal,43,internal_outer_train
522,0,internal,43,internal_outer_train
523,0,internal,43,internal_outer_train
524,0,internal,43,internal_outer_train
525,0,internal,43,internal_outer_train
526,0,internal,43,internal_outer_train
527,0,internal,44,internal_outer_train
528,0,internal,44,internal_outer_train
529,0,internal,44,internal_outer_train
530,0,internal,44,internal_outer_train
531,0,internal,44,internal_outer_train
532,0,internal,44,internal_outer_train
533,0,internal,44,internal_outer_train
534,0,internal,44,internal_outer_train
535,0,internal,44,internal_outer_train
536,0,internal,44,internal_outer_train
537,0,internal,45,internal_outer_train
538,0,internal,45,internal_outer_train
539,0,internal,45,internal_outer_train
540,0,internal,45,internal_outer_train
541,0,internal,45,internal_outer_train
542,0,internal,45,internal_outer_train
543,0,internal,45,internal_outer_train
544,0,internal,45,internal_outer_train
545,0,internal,45,internal_outer_train
546,0,internal,45,internal_outer_train
547,0,internal,46,internal_outer_train
548,0,internal,46,internal_outer_train
549,0,internal,46,internal_outer_train
550,0,internal,46,internal_outer_train
551,0,internal,46,internal_outer_train
552,0,internal,46,internal_outer_train
553,0,internal,46,internal_outer_train
554,0,internal,46,internal_outer_train
555,0,internal,46,internal_outer_train
556,0,internal,46,internal_outer_train
557,0,internal,47,internal_outer_train
558,0,internal,47,internal_outer_train
559,0,internal,47,internal_outer_train
560,0,internal,47,internal_outer_train
561,0,internal,47,internal_outer_train
562,0,internal,47,internal_outer_train
563,0,internal,47,internal_outer_train
564,0,internal,47,internal_outer_train
565,0,internal,47,internal_outer_train
566,0,internal,47,internal_outer_train
567,0,internal,48,internal_outer_train
568,0,internal,48,internal_outer_train
569,0,internal,48,internal_outer_train
570,0,internal,48,internal_outer_train
571,0,internal,48,internal_outer_train
572,0,internal,48,internal_outer_train
573,0,internal,48,internal_outer_train
574,0,internal,48,internal_outer_train
575,0,internal,48,internal_outer_train
576,0,internal,48,internal_outer_train
577,0,internal,49,internal_outer_train
578,0,internal,49,internal_outer_train
579,0,internal,49,internal_outer_train
580,0,internal,49,internal_outer_train
581,0,internal,49,internal_outer_train
582,0,internal,49,internal_outer_train
583,0,internal,49,internal_outer_train
584,0,internal,49,internal_outer_train
585,0,internal,49,internal_outer_train
586,0,internal,49,internal_outer_train
587,0,internal,50,internal_outer_train
588,0,internal,50,internal_outer_train
589,0,internal,50,internal_outer_train
590,0,internal,50,internal_outer_train
591,0,internal,50,internal_outer_train
592,0,internal,50,internal_outer_train
593,0,internal,50,internal_outer_train
594,0,internal,50,internal_outer_train
595,0,internal,50,internal_outer_train
596,0,internal,50,internal_outer_train
597,0,internal,51,internal_outer_train
598,0,internal,51,internal_outer_train
599,0,internal,51,internal_outer_train
600,0,internal,51,internal_outer_train
601,0,internal,51,internal_outer_train
602,0,internal,51,internal_outer_train
603,0,internal,51,internal_outer_train
604,0,internal,51,internal_outer_train
605,0,internal,51,internal_outer_train
606,0,internal,51,internal_outer_train
607,0,internal,52,internal_outer_test
608,0,internal,52,internal_outer_test
609,0,internal,52,internal_outer_test
610,0,internal,52,internal_outer_test
611,0,internal,52,internal_outer_test
612,0,internal,52,internal_outer_test
613,0,internal,52,internal_outer_test
614,0,internal,52,internal_outer_test
615,0,internal,52,internal_outer_test
616,0,internal,52,internal_outer_test
617,0,internal,53,internal_outer_train
618,0,internal,53,internal_outer_train
619,0,internal,53,internal_outer_train
620,0,internal,53,internal_outer_train
621,0,internal,53,internal_outer_train
622,0,internal,53,internal_outer_train
623,0,internal,53,internal_outer_train
624,0,internal,53,internal_outer_train
625,0,internal,53,internal_outer_train
626,0,internal,53,internal_outer_train
627,0,internal,54,internal_outer_train
628,0,internal,54,internal_outer_train
629,0,internal,54,internal_outer_train
630,0,internal,54,internal_outer_train
631,0,internal,54,internal_outer_train
632,0,internal,54,internal_outer_train
633,0,internal,54,internal_outer_train
634,0,internal,54,internal_outer_train
635,0,internal,54,internal_outer_train
636,0,internal,54,internal_outer_train
637,0,internal,55,internal_outer_train
638,0,internal,55,internal_outer_train
639,0,internal,55,internal_outer_train
640,0,internal,55,internal_outer_train
641,0,internal,55,internal_outer_train
642,0,internal,55,internal_outer_train
643,0,internal,55,internal_outer_train
644,0,internal,55,internal_outer_train
645,0,internal,55,internal_outer_train
646,0,internal,55,internal_outer_train
647,0,internal,56,internal_outer_test
648,0,internal,56,internal_outer_test
649,0,internal,56,internal_outer_test
650,0,internal,56,internal_outer_test
651,0,internal,56,internal_outer_test
652,0,internal,56,internal_outer_test
653,0,internal,56,internal_outer_test
654,0,internal,56,internal_outer_test
655,0,internal,56,internal_outer_test
656,0,internal,56,internal_outer_test
657,0,internal,57,internal_outer_test
658,0,internal,57,internal_outer_test
659,0,internal,57,internal_outer_test
660,0,internal,57,internal_outer_test
661,0,internal,57,internal_outer_test
662,0,internal,57,internal_outer_test
663,0,internal,57,internal_outer_test
664,0,internal,57,internal_outer_test
665,0,internal,57,internal_outer_test
666,0,internal,57,internal_outer_test
667,0,internal,58,internal_outer_train
668,0,internal,58,internal_outer_train
669,0,internal,58,internal_outer_train
670,0,internal,58,internal_outer_train
671,0,internal,58,internal_outer_train
672,0,internal,58,internal_outer_train
673,0,internal,58,internal_outer_train
674,0,internal,58,internal_outer_train
675,0,internal,58,internal_outer_train
676,0,internal,58,internal_outer_train
677,0,internal,59,internal_outer_train
678,0,internal,59,internal_outer_train
679,0,internal,59,internal_outer_train
680,0,internal,59,internal_outer_train
681,0,internal,59,internal_outer_train
682,0,internal,59,internal_outer_train
683,0,internal,59,internal_outer_train
684,0,internal,59,internal_outer_train
685,0,internal,59,internal_outer_train
686,0,internal,59,internal_outer_train
687,0,internal,60,internal_outer_train
688,0,internal,60,internal_outer_train
689,0,internal,60,internal_outer_train
690,0,internal,60,internal_outer_train
691,0,internal,60,internal_outer_train
692,0,internal,60,internal_outer_train
693,0,internal,60,internal_outer_train
694,0,internal,60,internal_outer_train
695,0,internal,60,internal_outer_train
696,0,internal,60,internal_outer_train
697,0,internal,61,internal_outer_train
698,0,internal,61,internal_outer_train
699,0,internal,61,internal_outer_train
700,0,internal,61,internal_outer_train
701,0,internal,61,internal_outer_train
702,0,internal,61,internal_outer_train
703,0,internal,61,internal_outer_train
704,0,internal,61,internal_outer_train
705,0,internal,61,internal_outer_train
706,0,internal,61,internal_outer_train
707,0,internal,62,internal_outer_train
708,0,internal,62,internal_outer_train
709,0,internal,62,internal_outer_train
710,0,internal,62,internal_outer_train
711,0,internal,62,internal_outer_train
712,0,internal,62,internal_outer_train
713,0,internal,62,internal_outer_train
714,0,internal,62,internal_outer_train
715,0,internal,62,internal_outer_train
716,0,internal,62,internal_outer_train
717,0,internal,63,internal_outer_train
718,0,internal,63,internal_outer_train
719,0,internal,63,internal_outer_train
720,0,internal,63,internal_outer_train
721,0,internal,63,internal_outer_train
722,0,internal,63,internal_outer_train
723,0,internal,63,internal_outer_train
724,0,internal,63,internal_outer_train
725,0,internal,63,internal_outer_train
726,0,internal,63,internal_outer_train
727,0,internal,64,internal_outer_test
728,0,internal,64,internal_outer_test
729,0,internal,64,internal_outer_test
730,0,internal,64,internal_outer_test
731,0,internal,64,internal_outer_test
732,0,internal,64,internal_outer_test
733,0,internal,64,internal_outer_test
734,0,internal,64,internal_outer_test
735,0,internal,64,internal_outer_test
736,0,internal,64,internal_outer_test
737,0,internal,65,internal_outer_train
738,0,internal,65,internal_outer_train
739,0,internal,65,internal_outer_train
740,0,internal,65,internal_outer_train
741,0,internal,65,internal_outer_train
742,0,internal,65,internal_outer_train
743,0,internal,65,internal_outer_train
744,0,internal,65,internal_outer_train
745,0,internal,65,internal_outer_train
746,0,internal,65,internal_outer_train
747,0,internal,66,internal_outer_train
748,0,internal,66,internal_outer_train
749,0,internal,66,internal_outer_train
750,0,internal,66,internal_outer_train
751,0,internal,66,internal_outer_train
752,0,internal,66,internal_outer_train
753,0,internal,66,internal_outer_train
754,0,internal,66,internal_outer_train
755,0,internal,66,internal_outer_train
756,0,internal,66,internal_outer_train
757,0,internal,67,internal_outer_train
758,0,internal,67,internal_outer_train
759,0,internal,67,internal_outer_train
760,0,internal,67,internal_outer_train
761,0,internal,67,internal_outer_train
762,0,internal,67,internal_outer_train
763,0,internal,67,internal_outer_train
764,0,internal,67,internal_outer_train
765,0,internal,67,internal_outer_train
766,0,internal,67,internal_outer_train
767,0,internal,68,internal_outer_train
768,0,internal,68,internal_outer_train
769,0,internal,68,internal_outer_train
770,0,internal,68,internal_outer_train
771,0,internal,68,internal_outer_train
772,0,internal,68,internal_outer_train
773,0,internal,68,internal_outer_train
774,0,internal,68,internal_outer_train
775,0,internal,68,internal_outer_train
776,0,internal,68,internal_outer_train
777,0,internal,69,internal_outer_train
778,0,internal,69,internal_outer_train
779,0,internal,69,internal_outer_train
780,0,internal,69,internal_outer_train
781,0,internal,69,internal_outer_train
782,0,internal,69,internal_outer_train
783,0,internal,69,internal_outer_train
784,0,internal,69,internal_outer_train
785,0,internal,69,internal_outer_train
786,0,internal,69,internal_outer_train
787,0,internal,70,internal_outer_test
788,0,internal,70,internal_outer_test
789,0,internal,70,internal_outer_test
790,0,internal,70,internal_outer_test
791,0,internal,70,internal_outer_test
792,0,internal,70,internal_outer_test
793,0,internal,70,internal_outer_test
794,0,internal,70,internal_outer_test
795,0,internal,70,internal_outer_test
796,0,internal,70,internal_outer_test
797,0,internal,71,internal_outer_train
798,0,internal,71,internal_outer_train
799,0,internal,71,internal_outer_train
800,0,internal,71,internal_outer_train
801,0,internal,71,internal_outer_train
802,0,internal,71,internal_outer_train
803,0,internal,71,internal_outer_train
804,0,internal,71,internal_outer_train
805,0,internal,71,internal_outer_train
806,0,internal,71,internal_outer_train
807,0,internal,72,internal_outer_train
808,0,internal,72,internal_outer_train
809,0,internal,72,internal_outer_train
810,0,internal,72,internal_outer_train
811,0,internal,72,internal_outer_train
812,0,internal,72,internal_outer_train
813,0,internal,72,internal_outer_train
814,0,internal,72,internal_outer_train
815,0,internal,72,internal_outer_train
816,0,internal,72,internal_outer_train
817,0,internal,73,internal_outer_test
